step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
80,3.188,7.1226,0.6768,5.9733,-1.6832,-1.0391,1.6877,5.953,7.962,9.835,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.72,-1.0898,1.7,2.6526,-0.5242,0,0,0,0.414,0.131,0.869,0,0,0.0
81,3.218,7.089,0.6562,6.0071,-1.677,-1.0282,1.6878,5.987,7.922,9.823,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7187,-1.0892,1.7,2.6515,-0.5374,0,0,0,0.42,0.141,0.859,0,0,0.0
82,3.247,7.0556,0.6358,6.0408,-1.6724,-1.0185,1.6881,6.021,7.883,9.811,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7175,-1.0887,1.7,2.6505,-0.5243,0,0,0,0.417,0.134,0.866,0,0,0.0
83,3.276,7.0222,0.6156,6.0746,-1.6667,-1.0111,1.6885,6.055,7.844,9.8,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7163,-1.0881,1.7,2.6495,-0.5326,0,0,0,0.424,0.137,0.863,0,0,0.0
84,3.305,6.989,0.5955,6.1084,-1.6631,-1.0053,1.6889,6.088,7.805,9.789,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.715,-1.0876,1.7,2.6484,-0.5189,0,0,0,0.422,0.142,0.858,0,0,0.0
85,3.334,6.9558,0.5755,6.1422,-1.6579,-1.0021,1.6892,6.122,7.767,9.779,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7138,-1.0871,1.7,2.6474,-0.5163,0,0,0,0.426,0.141,0.859,0,0,0.0
86,3.363,6.9227,0.5555,6.176,-1.6546,-1.0006,1.6896,6.156,7.728,9.769,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7126,-1.0865,1.7,2.6464,-0.5017,0,0,0,0.422,0.139,0.861,0,0,0.0
87,3.392,6.8897,0.5354,6.2098,-1.6501,-1.0008,1.6899,6.19,7.689,9.759,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7113,-1.086,1.7,2.6454,-0.5118,0,0,0,0.426,0.141,0.859,0,0,0.0
88,3.421,6.8568,0.5154,6.2436,-1.6478,-1.0019,1.6901,6.224,7.651,9.75,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7101,-1.0855,1.652,2.6138,-0.4967,0,0,0,0.423,0.144,0.856,0,0,0.0
89,3.451,6.8239,0.4953,6.277,-1.6438,-1.0042,1.6724,6.257,7.612,9.741,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7089,-1.0849,1.604,2.5827,-0.4954,0,0,0,0.424,0.141,0.859,0,0,0.0
90,3.482,6.7911,0.4752,6.3099,-1.6414,-1.0072,1.6436,6.29,7.574,9.731,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7077,-1.0843,1.556,2.5521,-0.4803,0,0,0,0.419,0.138,0.862,0,0,0.0
91,3.512,6.7583,0.455,6.342,-1.6382,-1.0107,1.6078,6.322,7.535,9.721,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7065,-1.0837,1.508,2.522,-0.4926,0,0,0,0.421,0.137,0.863,0,0,0.0
92,3.544,6.7256,0.4347,6.3734,-1.6367,-1.0142,1.5677,6.353,7.497,9.711,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7053,-1.0831,1.46,2.4926,-0.4774,0,0,0,0.417,0.138,0.862,0,0,0.0
93,3.575,6.6929,0.4143,6.4039,-1.6347,-1.0186,1.5247,6.384,7.458,9.701,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7041,-1.0825,1.412,2.4637,-0.48,0,0,0,0.418,0.135,0.865,0,0,0.0
94,3.606,6.6602,0.3938,6.4335,-1.6344,-1.0233,1.48,6.413,7.42,9.691,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.703,-1.0818,1.364,2.4354,-0.4645,0,0,0,0.413,0.139,0.861,0,0,0.0
95,3.638,6.6275,0.3733,6.4622,-1.6336,-1.0287,1.4342,6.442,7.381,9.68,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7019,-1.0811,1.316,2.4077,-0.4736,0,0,0,0.414,0.138,0.862,0,0,0.0
96,3.669,6.5948,0.3526,6.4899,-1.6345,-1.0339,1.3877,6.47,7.342,9.668,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7007,-1.0804,1.268,2.3807,-0.4577,0,0,0,0.41,0.137,0.863,0,0,0.0
97,3.699,6.5621,0.3318,6.5167,-1.6346,-1.0398,1.3405,6.497,7.304,9.656,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6996,-1.0797,1.22,2.3543,-0.4498,0,0,0,0.406,0.133,0.867,0,0,0.0
98,3.73,6.5294,0.3109,6.5426,-1.6363,-1.0457,1.2932,6.523,7.265,9.644,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6985,-1.079,1.172,2.3287,-0.4424,0,0,0,0.4,0.133,0.867,0,0,0.0
99,3.762,6.4967,0.2899,6.5675,-1.6376,-1.0511,1.2459,6.548,7.226,9.631,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6974,-1.0782,1.124,2.3037,-0.4546,0,0,0,0.401,0.131,0.869,0,0,0.0
100,3.793,6.4638,0.2687,6.5915,-1.6406,-1.0559,1.1984,6.571,7.187,9.618,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6963,-1.0775,1.076,2.2795,-0.4378,0,0,0,0.395,0.132,0.868,0,0,0.0
101,3.825,6.431,0.2475,6.6145,-1.6427,-1.0611,1.1505,6.594,7.148,9.604,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6952,-1.0767,1.028,2.256,-0.4342,0,0,0,0.392,0.131,0.869,0,0,0.0
