step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
90,6.923,18.7755,6.5116,28.0512,-1.7243,-1.249,1.6428,4.995,28.678,39.977,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7976,-1.3532,1.556,2.7356,-0.4592,0,0,0,0.274,0.128,0.872,0,0,0.0
91,7.016,18.741,6.4867,28.0833,-1.7231,-1.248,1.6071,5.148,28.636,39.969,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7976,-1.3532,1.508,2.7086,-0.4652,0,0,0,0.274,0.126,0.874,0,0,0.0
92,7.11,18.7066,6.4617,28.1147,-1.7218,-1.248,1.5672,5.346,28.593,39.96,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3533,1.46,2.6822,-0.4563,0,0,0,0.276,0.132,0.868,0,0,0.0
93,7.202,18.6722,6.4367,28.1452,-1.7222,-1.2497,1.5246,5.543,28.551,39.951,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3533,1.412,2.6564,-0.4391,0,0,0,0.275,0.13,0.87,0,0,0.0
94,7.293,18.6377,6.4117,28.1748,-1.7224,-1.2526,1.4802,5.74,28.508,39.941,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3534,1.364,2.6312,-0.446,0,0,0,0.277,0.135,0.865,0,0,0.0
95,7.384,18.6032,6.3866,28.2035,-1.7251,-1.256,1.4343,5.936,28.466,39.931,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3534,1.316,2.6066,-0.4232,0,0,0,0.276,0.133,0.867,0,0,0.0
96,7.475,18.5686,6.3613,28.2312,-1.728,-1.2605,1.3879,6.132,28.423,39.92,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3535,1.268,2.5827,-0.4317,0,0,0,0.278,0.137,0.863,0,0,0.0
97,7.566,18.534,6.3361,28.2581,-1.7323,-1.265,1.341,6.327,28.38,39.908,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3535,1.22,2.5595,-0.4124,0,0,0,0.277,0.139,0.861,0,0,0.0
98,7.66,18.4993,6.3106,28.2839,-1.7358,-1.2702,1.2938,6.522,28.337,39.896,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7973,-1.3535,1.172,2.5369,-0.4218,0,0,0,0.278,0.131,0.869,0,0,0.0
99,7.754,18.4645,6.2851,28.3089,-1.741,-1.2751,1.2461,6.697,28.294,39.883,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7973,-1.3536,1.124,2.5151,-0.4015,0,0,0,0.277,0.134,0.866,0,0,0.0
100,7.849,18.4295,6.2595,28.3328,-1.7458,-1.2805,1.1981,6.812,28.25,39.869,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7973,-1.3536,1.076,2.494,-0.4133,0,0,0,0.277,0.132,0.868,0,0,0.0
