step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
55,4.42,20.0483,7.4612,26.8744,-1.6056,-1.1371,1.6858,1.498,30.266,40.343,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5491,0,0,0,0.382,0.125,0.875,0,0,0.0,3,SEARCH_PHASE,-1.6056,-1.1371,24.1849,18.1973
56,4.486,20.0157,7.4376,26.9081,-1.632,-1.1824,1.6828,1.525,30.226,40.335,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5463,0,0,0,0.298,0.123,0.877,0,0,0.0,3,SEARCH_PHASE,-1.632,-1.1824,24.1523,18.1736
57,4.552,19.9825,7.4131,26.9417,-1.6568,-1.2253,1.6796,1.589,30.185,40.327,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3529,1.7,2.82,-0.5423,0,0,0,0.261,0.125,0.875,0,0,0.0,3,SEARCH_PHASE,-1.6568,-1.2253,24.1191,18.1491
58,4.618,19.9488,7.3877,26.9752,-1.6841,-1.2662,1.6757,1.658,30.143,40.317,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3529,1.7,2.82,-0.495,0,0,0,0.261,0.127,0.873,0,0,0.0,3,SEARCH_PHASE,-1.6841,-1.2662,24.0855,18.1238
59,4.685,19.9146,7.3616,27.0086,-1.7104,-1.305,1.6728,1.727,30.1,40.307,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5394,0,0,0,0.264,0.132,0.868,0,0,0.0,3,SEARCH_PHASE,-1.7104,-1.305,24.0512,18.0977
60,4.75,19.8799,7.3349,27.042,-1.7359,-1.3383,1.6707,1.797,30.056,40.297,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.4921,0,0,0,0.264,0.124,0.876,0,0,0.0,3,SEARCH_PHASE,-1.7359,-1.3383,24.0165,18.071
61,4.816,19.8447,7.3075,27.0754,-1.7602,-1.3698,1.6693,1.869,30.011,40.286,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5034,0,0,0,0.267,0.13,0.87,0,0,0.0,3,SEARCH_PHASE,-1.7602,-1.3698,23.9813,18.0436
62,4.883,19.809,7.2796,27.1088,-1.7835,-1.3962,1.6694,1.94,29.966,40.275,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.798,-1.3527,1.7,2.82,-0.4974,0,0,0,0.266,0.131,0.869,0,0,0.0,3,SEARCH_PHASE,-1.7835,-1.3962,23.9457,18.0156
63,4.948,19.773,7.2512,27.1422,-1.803,-1.4185,1.6701,2.013,29.92,40.263,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.798,-1.3526,1.7,2.82,-0.496,0,0,0,0.269,0.137,0.863,0,0,0.0,3,SEARCH_PHASE,-1.803,-1.4185,23.9096,17.9873
64,5.014,19.7365,7.2225,27.1756,-1.8226,-1.4366,1.6711,2.086,29.874,40.251,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7981,-1.3526,1.7,2.82,-0.4769,0,0,0,0.265,0.13,0.87,0,0,0.0,3,SEARCH_PHASE,-1.8226,-1.4366,23.8731,17.9585
65,5.08,19.6997,7.1934,27.2091,-1.8388,-1.4507,1.673,2.159,29.827,40.238,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7981,-1.3525,1.7,2.82,-0.476,0,0,0,0.265,0.129,0.871,0,0,0.0,3,SEARCH_PHASE,-1.8388,-1.4507,23.8364,17.9295
66,5.146,19.6627,7.1642,27.2426,-1.8542,-1.4596,1.6752,2.233,29.78,40.226,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7982,-1.3525,1.7,2.82,-0.4884,0,0,0,0.262,0.13,0.87,0,0,0.0,3,SEARCH_PHASE,-1.8542,-1.4596,23.7993,17.9003
67,5.212,19.6254,7.135,27.2762,-1.865,-1.4635,1.6777,2.317,29.732,40.213,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7982,-1.3524,1.7,2.82,-0.5,0,0,0,0.264,0.127,0.873,0,0,0.0,3,SEARCH_PHASE,-1.865,-1.4635,23.762,17.8711
