step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
55,4.61,20.0418,7.4861,26.875,-1.6516,-1.1114,1.6867,1.489,30.276,40.351,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7968,-1.3542,1.7,2.82,-0.5608,0,0,0,0.448,0.136,0.864,0,0,0.0,3,SEARCH_PHASE,-1.6516,-1.1114
56,4.679,20.0083,7.463,26.9087,-1.6744,-1.152,1.6852,1.516,30.236,40.343,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7968,-1.3543,1.7,2.82,-0.5147,0,0,0,0.277,0.122,0.878,0,0,0.0,3,SEARCH_PHASE,-1.6744,-1.152
57,4.744,19.9744,7.4392,26.9423,-1.697,-1.1925,1.6827,1.553,30.194,40.334,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7967,-1.3544,1.7,2.82,-0.5488,0,0,0,0.269,0.126,0.874,0,0,0.0,3,SEARCH_PHASE,-1.697,-1.1925
58,4.811,19.94,7.4146,26.9759,-1.7194,-1.2293,1.6802,1.621,30.152,40.325,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7967,-1.3544,1.7,2.82,-0.501,0,0,0,0.27,0.131,0.869,0,0,0.0,3,SEARCH_PHASE,-1.7194,-1.2293
59,4.877,19.9052,7.3893,27.0095,-1.7417,-1.266,1.6773,1.689,30.109,40.315,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.5007,0,0,0,0.27,0.131,0.869,0,0,0.0,3,SEARCH_PHASE,-1.7417,-1.266
60,4.944,19.8699,7.3633,27.043,-1.764,-1.2988,1.6755,1.758,30.065,40.304,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4984,0,0,0,0.272,0.136,0.864,0,0,0.0,3,SEARCH_PHASE,-1.764,-1.2988
61,5.011,19.8342,7.3367,27.0765,-1.7829,-1.3282,1.6744,1.828,30.02,40.294,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4945,0,0,0,0.274,0.134,0.866,0,0,0.0,3,SEARCH_PHASE,-1.7829,-1.3282
62,5.079,19.7982,7.3096,27.1099,-1.8017,-1.3543,1.6741,1.899,29.975,40.282,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4908,0,0,0,0.275,0.134,0.866,0,0,0.0,3,SEARCH_PHASE,-1.8017,-1.3543
63,5.146,19.7619,7.2821,27.1434,-1.8165,-1.3772,1.6743,1.97,29.93,40.271,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4864,0,0,0,0.275,0.135,0.865,0,0,0.0,3,SEARCH_PHASE,-1.8165,-1.3772
64,5.213,19.7253,7.2542,27.1769,-1.8307,-1.3969,1.6751,2.042,29.884,40.259,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4812,0,0,0,0.275,0.143,0.857,0,0,0.0,3,SEARCH_PHASE,-1.8307,-1.3969
65,5.28,19.6885,7.2259,27.2105,-1.8407,-1.4135,1.6762,2.115,29.837,40.247,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4758,0,0,0,0.275,0.145,0.855,0,0,0.0,3,SEARCH_PHASE,-1.8407,-1.4135
66,5.347,19.6515,7.1974,27.244,-1.8497,-1.4268,1.6779,2.188,29.791,40.235,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7966,-1.3545,1.7,2.82,-0.4689,0,0,0,0.274,0.133,0.867,0,0,0.0,3,SEARCH_PHASE,-1.8497,-1.4268
67,5.415,19.6144,7.1686,27.2776,-1.8545,-1.4367,1.6797,2.264,29.744,40.223,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7967,-1.3544,1.7,2.82,-0.4713,0,0,0,0.273,0.136,0.864,0,0,0.0,3,SEARCH_PHASE,-1.8545,-1.4367
68,5.483,19.5772,7.1398,27.3112,-1.8582,-1.4431,1.6816,2.351,29.697,40.211,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7967,-1.3544,1.7,2.82,-0.463,0,0,0,0.273,0.134,0.866,0,0,0.0,3,SEARCH_PHASE,-1.8582,-1.4431
69,5.55,19.5401,7.1108,27.3449,-1.8571,-1.4464,1.6834,2.439,29.65,40.199,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7967,-1.3543,1.7,2.82,-0.493,0,0,0,0.274,0.134,0.866,0,0,0.0,3,SEARCH_PHASE,-1.8571,-1.4464
70,5.617,19.503,7.0819,27.3786,-1.8546,-1.4463,1.6849,2.526,29.603,40.187,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7968,-1.3543,1.7,2.82,-0.4428,0,0,0,0.271,0.132,0.868,0,0,0.0,3,SEARCH_PHASE,-1.8546,-1.4463
71,5.686,19.466,7.053,27.4123,-1.8504,-1.4457,1.6863,2.614,29.556,40.175,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7968,-1.3542,1.7,2.82,-0.4815,0,0,0,0.271,0.132,0.868,0,0,0.0,3,SEARCH_PHASE,-1.8504,-1.4457
