step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
51,2.158,8.1253,1.4028,4.9963,-1.5513,-0.7306,1.6959,4.976,9.198,10.373,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7218,-1.0749,1.7,2.6476,-0.6038,0,0,0,0.566,0.226,0.774,0,0,0.0,5,SEARCH_PHASE,-1.5513,-0.7306,7.728,4.9875
52,2.197,8.0938,1.3873,5.0302,-1.5711,-0.7728,1.6955,5.01,9.163,10.358,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7412,-1.1187,1.7,2.6783,-0.6016,0,0,0,0.561,0.218,0.782,0,0,0.0,5,SEARCH_PHASE,-1.5711,-0.7728,7.6966,4.972
53,2.236,8.062,1.371,5.0641,-1.5902,-0.8156,1.6952,5.044,9.127,10.342,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7436,-1.1273,1.7,2.6834,-0.5971,0,0,0,0.561,0.217,0.783,0,0,0.0,5,SEARCH_PHASE,-1.5902,-0.8156,7.6648,4.9557
54,2.275,8.0298,1.3538,5.098,-1.6122,-0.859,1.6929,5.078,9.091,10.326,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7421,-1.1272,1.7,2.6825,-0.5557,0,0,0,0.554,0.209,0.791,0,0,0.0,5,SEARCH_PHASE,-1.6122,-0.859,7.6325,4.9385
55,2.314,7.9971,1.3358,5.1318,-1.6338,-0.9026,1.6895,5.112,9.054,10.31,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7407,-1.127,1.7,2.6815,-0.5935,0,0,0,0.555,0.212,0.788,0,0,0.0,5,SEARCH_PHASE,-1.6338,-0.9026,7.5998,4.9205
56,2.352,7.964,1.3169,5.1655,-1.6555,-0.9437,1.6859,5.145,9.016,10.293,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7394,-1.1267,1.7,2.6805,-0.5471,0,0,0,0.548,0.203,0.797,0,0,0.0,5,SEARCH_PHASE,-1.6555,-0.9437,7.5667,4.9016
57,2.389,7.9305,1.2972,5.1991,-1.6768,-0.9855,1.6819,5.179,8.977,10.275,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.738,-1.1263,1.7,2.6794,-0.5448,0,0,0,0.547,0.209,0.791,0,0,0.0,5,SEARCH_PHASE,-1.6768,-0.9855,7.5332,4.8819
58,2.429,7.8965,1.2767,5.2327,-1.6977,-1.0247,1.6788,5.213,8.937,10.257,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7367,-1.1258,1.7,2.6784,-0.5395,0,0,0,0.54,0.195,0.805,0,0,0.0,5,SEARCH_PHASE,-1.6977,-1.0247,7.4992,4.8614
59,2.469,7.8622,1.2555,5.2662,-1.7148,-1.0612,1.6765,5.246,8.897,10.238,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7355,-1.1252,1.7,2.6773,-0.5375,0,0,0,0.538,0.199,0.801,0,0,0.0,5,SEARCH_PHASE,-1.7148,-1.0612,7.465,4.8402
60,2.509,7.8276,1.2336,5.2997,-1.732,-1.0951,1.6747,5.28,8.856,10.219,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7342,-1.1246,1.7,2.6762,-0.5261,0,0,0,0.53,0.186,0.814,0,0,0.0,5,SEARCH_PHASE,-1.732,-1.0951,7.4303,4.8182
61,2.549,7.7927,1.2111,5.3332,-1.7456,-1.1264,1.6738,5.313,8.814,10.2,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.733,-1.1238,1.7,2.6751,-0.5243,0,0,0,0.528,0.189,0.811,0,0,0.0,5,SEARCH_PHASE,-1.7456,-1.1264,7.3954,4.7957
62,2.587,7.7575,1.188,5.3667,-1.759,-1.1545,1.6735,5.347,8.772,10.181,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7318,-1.123,1.7,2.674,-0.5151,0,0,0,0.518,0.188,0.812,0,0,0.0,5,SEARCH_PHASE,-1.759,-1.1545,7.3602,4.7726
63,2.624,7.7221,1.1644,5.4001,-1.7687,-1.1795,1.6739,5.38,8.73,10.161,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7307,-1.1221,1.7,2.6729,-0.5137,0,0,0,0.515,0.192,0.808,0,0,0.0,5,SEARCH_PHASE,-1.7687,-1.1795,7.3248,4.749
64,2.66,7.6866,1.1404,5.4336,-1.7782,-1.2011,1.6748,5.414,8.687,10.142,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7295,-1.1211,1.7,2.6717,-0.506,0,0,0,0.505,0.178,0.822,0,0,0.0,5,SEARCH_PHASE,-1.7782,-1.2011,7.2893,4.725
65,2.696,7.6509,1.116,5.4672,-1.7839,-1.2193,1.6762,5.447,8.644,10.122,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7284,-1.1201,1.7,2.6706,-0.5049,0,0,0,0.501,0.174,0.826,0,0,0.0,5,SEARCH_PHASE,-1.7839,-1.2193,7.2536,4.7006
66,2.731,7.6151,1.0913,5.5007,-1.7897,-1.2339,1.6778,5.481,8.6,10.102,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7273,-1.119,1.7,2.6694,-0.4984,0,0,0,0.489,0.168,0.832,0,0,0.0,5,SEARCH_PHASE,-1.7897,-1.2339,7.2178,4.676
67,2.764,7.5793,1.0664,5.5343,-1.7919,-1.2451,1.6796,5.514,8.556,10.083,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7263,-1.1179,1.7,2.6683,-0.4975,0,0,0,0.484,0.171,0.829,0,0,0.0,5,SEARCH_PHASE,-1.7919,-1.2451,7.182,4.6511
68,2.8,7.5434,1.0413,5.5679,-1.7944,-1.2525,1.6815,5.548,8.513,10.064,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7252,-1.1168,1.7,2.6671,-0.4908,0,0,0,0.471,0.151,0.849,0,0,0.0,5,SEARCH_PHASE,-1.7944,-1.2525,7.1461,4.626
69,2.836,7.5075,1.0162,5.6016,-1.7937,-1.2566,1.6834,5.582,8.469,10.045,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7241,-1.1157,1.7,2.666,-0.4903,0,0,0,0.466,0.149,0.851,0,0,0.0,5,SEARCH_PHASE,-1.7937,-1.2566,7.1102,4.6009
